COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Aruba,ABW,AMRO,REPORTING,2023-12-29,217124,90493,203,85,84363,79,,2021-02-17,,35659,33
Afghanistan,AFG,EMRO,REPORTING,2023-12-31,22964750,19151369,59,49,18370386,47,,2021-02-22,,2729940,7
Angola,AGO,AFRO,REPORTING,2023-12-31,27819132,16550642,85,50,9609080,29,,2021-03-10,,3067091,9
Anguilla,AIA,AMRO,REPORTING,2023-12-29,24864,10858,166,72,10382,69,,2021-02-05,,3231,22
Albania,ALB,EURO,REPORTING,2023-12-23,3088966,1349255,107,47,1279333,44,,2021-01-13,,402371,14
Andorra,AND,EURO,REPORTING,2023-12-23,157072,57913,203,75,53501,69,,2021-01-20,,43071,56
Argentina,ARG,AMRO,REPORTING,2023-12-29,116686617,41188650,258,91,38090133,84,,2020-12-29,,27718875,61
Armenia,ARM,EURO,REPORTING,2023-12-23,2256919,1150915,76,39,1030758,35,,2021-01-27,,81354,3
Antigua and Barbuda,ATG,AMRO,REPORTING,2023-12-29,136512,64290,139,66,62384,64,,2021-03-01,,9838,10
Australia,AUS,WPRO,REPORTING,2023-12-31,69686752,22443557,273,88,21766240,85,,2021-02-21,,14391682,56
Austria,AUT,EURO,REPORTING,2023-12-23,20403676,6909588,229,78,6682372,75,,2020-12-30,,5405966,61
Azerbaijan,AZE,EURO,REPORTING,2023-12-23,13829360,5436662,136,54,4888112,48,,2021-01-20,,3504588,35
Burundi,BDI,AFRO,REPORTING,2023-12-31,42252,36909,,,36321,,,2021-10-18,,314,
Belgium,BEL,EURO,REPORTING,2023-12-23,29117755,9248897,253,80,9152736,79,,2020-12-30,,7246551,63
Benin,BEN,AFRO,REPORTING,2023-12-31,4232541,3697190,35,30,2742837,23,,2021-03-29,,,
Burkina Faso,BFA,AFRO,REPORTING,2023-12-31,7893609,6089089,38,29,5232347,25,,2021-06-02,,4056,
Bulgaria,BGR,EURO,REPORTING,2023-12-23,4723016,2155863,68,31,2080472,30,,2020-12-30,,864723,12
Bahamas,BHS,AMRO,REPORTING,2023-12-29,366359,174810,93,44,166972,42,,2021-03-14,,33717,9
Bosnia and Herzegovina,BIH,EURO,REPORTING,2023-12-23,1190949,546013,36,17,461202,14,,,,182203,6
Belarus,BLR,EURO,REPORTING,2023-12-23,22765402,6451746,241,68,6366658,67,,2021-02-03,,5724423,61
Belize,BLZ,AMRO,REPORTING,2023-12-29,511106,236221,129,59,221478,56,,2021-03-01,,53189,13
Bermuda,BMU,AMRO,REPORTING,2023-12-29,136759,48554,220,78,47657,77,,2021-01-11,,32016,51
Bolivia (Plurinational State of),BOL,AMRO,REPORTING,2023-12-29,16104540,7505389,138,64,6307628,54,,2021-01-30,,2521192,22
Brazil,BRA,AMRO,REPORTING,2023-12-29,516237106,184663245,243,87,172876264,81,,2021-01-17,,110574302,52
Barbados,BRB,AMRO,REPORTING,2023-12-29,384049,163853,134,57,155047,54,,2021-01-08,,62848,22
Botswana,BWA,AFRO,REPORTING,2023-12-31,3171667,1951054,135,83,1663490,71,,2021-03-26,,510809,22
Central African Republic,CAF,AFRO,REPORTING,2023-12-31,3342248,2600389,69,54,2484985,51,,2021-03-19,,366221,8
Canada,CAN,AMRO,REPORTING,2023-12-29,99034734,32647931,262,87,31314748,83,,2020-12-14,,19860368,53
Switzerland,CHE,EURO,REPORTING,2023-12-23,16755985,6096600,194,70,5723066,66,,2020-12-23,,4996650,58
Chile,CHL,AMRO,REPORTING,2023-12-29,66864900,17538744,350,92,17721999,93,,2020-12-21,,15779434,83
C�te d'Ivoire,CIV,AFRO,REPORTING,2023-12-31,25263932,13568372,96,51,12164304,46,,2021-03-01,,3138712,12
Cameroon,CMR,AFRO,REPORTING,2023-12-31,4880572,3753733,18,14,3197286,12,,2021-04-12,,803560,3
Democratic Republic of the Congo,COD,AFRO,REPORTING,2023-12-31,18808671,17045721,21,19,14399520,16,,2021-04-19,,,
Congo,COG,AFRO,REPORTING,2023-12-31,833210,695760,15,13,654119,12,,2021-03-23,,,
Colombia,COL,AMRO,REPORTING,2023-12-29,90931192,43012174,179,85,37204128,73,,2021-02-17,,14944212,29
Comoros,COM,AFRO,REPORTING,2023-12-31,835021,438825,96,50,397080,46,,2021-04-10,,,
Cabo Verde,CPV,AFRO,REPORTING,2023-12-31,859940,356734,155,64,308720,56,,2021-03-18,,749,
Costa Rica,CRI,AMRO,REPORTING,2023-12-29,13576935,4650636,267,91,4369784,86,,2020-12-24,,2986527,59
Cuba,CUB,AMRO,REPORTING,2023-12-29,45857667,10786800,405,95,10043987,89,,,,8783298,78
Cura�ao,CUW,AMRO,REPORTING,2023-12-29,260324,108601,159,66,100885,61,,,,47473,29
Cayman Islands,CYM,AMRO,REPORTING,2023-12-29,152148,62113,232,95,60696,92,,2021-01-15,,24064,37
Cyprus,CYP,EURO,REPORTING,2023-12-23,1891597,669294,213,75,656138,74,,2020-12-23,,520026,59
Czechia,CZE,EURO,REPORTING,2023-12-23,18615329,6972222,174,65,6887973,64,,2020-12-23,,4365928,41
Germany,DEU,EURO,REPORTING,2023-12-23,193241457,64868618,232,78,63566137,76,,2020-12-23,,52143826,63
Djibouti,DJI,EMRO,REPORTING,2023-12-31,723789,372077,73,38,351712,36,,2021-03-15,,,
Dominica,DMA,AMRO,REPORTING,2023-12-29,67647,32995,94,46,30659,43,,2021-02-12,,3993,6
Denmark,DNK,EURO,REPORTING,2023-12-23,14928430,4737987,256,81,4781285,82,,2020-12-16,,3674678,63
Dominican Republic,DOM,AMRO,REPORTING,2023-12-29,16431089,7360900,151,68,6130483,57,,2021-02-16,,2575142,24
Algeria,DZA,AFRO,REPORTING,2023-12-31,15267442,7840131,35,18,6481186,15,,2021-01-30,,575651,1
Ecuador,ECU,AMRO,REPORTING,2023-12-29,39585085,15345791,224,87,14249559,81,,2021-01-20,,7732930,44
Egypt,EGY,EMRO,REPORTING,2023-12-31,102191677,56907319,100,56,42337175,41,,2021-01-24,,15217352,15
Spain,ESP,EURO,REPORTING,2023-12-23,119228502,41332877,252,87,37486219,79,,2020-12-30,,32914841,70
Estonia,EST,EURO,REPORTING,2023-12-23,2205229,845148,166,64,842177,63,,2020-12-23,,487389,37
Ethiopia,ETH,AFRO,REPORTING,2023-12-31,68856793,52489512,60,46,43653006,38,,2021-03-13,,5978070,5
Finland,FIN,EURO,REPORTING,2023-12-23,14186622,4547671,257,82,4365135,79,,2020-12-23,,4016189,73
France,FRA,EURO,REPORTING,2023-12-23,158060078,54677676,243,84,53189148,82,,2020-12-23,,41042160,63
Gabon,GAB,AFRO,REPORTING,2023-12-31,572672,311244,26,14,257471,12,,2021-03-23,,2592,
United Kingdom of Great Britain and Northern Ireland,GBR,EURO,REPORTING,2023-12-23,151248820,53813491,223,79,50762968,75,,2020-12-21,,,
Georgia,GEO,EURO,REPORTING,2023-12-23,2739270,1300867,69,33,1187212,30,,2021-03-17,,251191,6
Ghana,GHA,AFRO,REPORTING,2023-12-31,25624828,13864186,82,45,10780003,35,,2021-03-02,,4806017,15
Guinea,GIN,AFRO,REPORTING,2023-12-31,12049511,8715641,92,66,5853990,45,,2021-03-05,,425378,3
Guadeloupe,GLP,,REPORTING,2023-12-29,400424,152189,100,38,146147,37,,,,89052,22
Gambia,GMB,AFRO,REPORTING,2023-12-31,1444492,674314,60,28,539186,22,,2021-03-10,,53741,2
Guinea-Bissau,GNB,AFRO,REPORTING,2023-12-31,920752,747057,47,38,547637,28,,2021-04-02,,76359,4
Equatorial Guinea,GNQ,AFRO,REPORTING,2023-12-31,488738,270109,35,19,214032,15,,2021-02-12,,4597,
Greece,GRC,EURO,REPORTING,2023-12-23,22155251,7917288,207,74,7745574,72,,2020-12-23,,6071723,57
Grenada,GRD,AMRO,REPORTING,2023-12-29,90686,44241,81,39,39034,35,,2021-02-15,,7411,7
Guatemala,GTM,AMRO,REPORTING,2023-12-29,20383475,8937923,114,50,7130895,40,,2021-02-25,,3723845,21
French Guiana,GUF,,REPORTING,2023-12-29,242386,100359,81,34,90493,30,,,,46361,16
Guyana,GUY,AMRO,REPORTING,2023-12-29,967861,497550,123,63,384507,49,,2021-02-11,,80224,10
Honduras,HND,AMRO,REPORTING,2023-12-29,17074861,6596213,172,67,5853689,59,,2021-02-22,,4803544,48
Croatia,HRV,EURO,REPORTING,2023-12-23,5435966,2321669,134,57,2246622,55,,2020-12-23,,996098,25
Haiti,HTI,AMRO,REPORTING,2023-12-29,680104,521396,6,5,366339,3,,,,,
Hungary,HUN,EURO,REPORTING,2023-12-23,16578284,6358657,170,65,6152022,63,,2020-12-23,,3876420,40
Ireland,IRL,EURO,REPORTING,2023-12-23,13122238,4245977,264,86,4063819,82,,2020-12-30,,3787948,76
Iceland,ISL,EURO,REPORTING,2023-12-23,903424,307412,248,84,297934,82,,2020-12-30,,287652,79
Israel,ISR,EURO,REPORTING,2023-12-23,18852564,7055466,218,82,6385731,74,,2020-12-16,,4474108,52
Italy,ITA,EURO,REPORTING,2023-12-23,150321543,50583975,252,85,49484586,83,,2020-12-23,,44917315,75
Jamaica,JAM,AMRO,REPORTING,2023-12-29,1529113,722248,52,24,760800,26,,2021-03-10,,46065,2
Japan,JPN,WPRO,REPORTING,2023-12-31,433356604,104740066,343,83,103455221,82,,2021-02-17,,86666847,69
Kazakhstan,KAZ,EURO,REPORTING,2023-12-23,38355605,12443364,204,66,13070774,70,,2021-04-07,,6801526,36
Kenya,KEN,AFRO,REPORTING,2023-12-31,23750431,14494372,44,27,11090440,21,,2021-03-05,,2000636,4
Kyrgyzstan,KGZ,EURO,REPORTING,2023-12-23,3167393,1528725,49,23,1337850,21,,2021-03-31,,300818,5
Cambodia,KHM,WPRO,REPORTING,2023-12-31,47826645,15316670,286,92,14693274,88,,2021-02-10,,10782710,64
Saint Kitts and Nevis,KNA,AMRO,REPORTING,2023-12-29,64297,33794,121,64,27000,51,,2021-02-22,,3465,7
Kuwait,KWT,EMRO,REPORTING,2023-12-03,8261221,3457498,193,81,3346176,78,,2020-12-28,,1457547,34
Liberia,LBR,AFRO,REPORTING,2023-12-31,4460668,3903802,88,77,3730967,74,,2021-04-01,,1987,
Libya,LBY,EMRO,REPORTING,2023-12-31,3653384,2316327,53,34,1236102,18,,2021-04-11,,186729,3
Saint Lucia,LCA,AMRO,REPORTING,2023-12-29,122977,60140,67,33,54971,30,,2021-02-17,,7866,4
Lesotho,LSO,AFRO,REPORTING,2023-12-31,1339097,1014073,63,47,938088,44,,2021-03-10,,177816,8
Lithuania,LTU,EURO,REPORTING,2023-12-23,4532649,1960786,162,70,1907061,68,,2020-12-23,,902103,32
Luxembourg,LUX,EURO,REPORTING,2023-12-23,1337940,469285,214,75,462715,74,,2020-12-30,,368527,59
Latvia,LVA,EURO,REPORTING,2023-12-23,2979624,1344394,156,70,1304787,68,,2020-12-30,,550901,29
Morocco,MAR,EMRO,REPORTING,2023-12-31,55389602,25020168,150,68,23521989,64,,2021-01-28,,6925973,19
Monaco,MCO,EURO,REPORTING,2023-12-23,71929,25123,183,64,25261,64,,2021-06-30,,17747,45
Republic of Moldova,MDA,EURO,REPORTING,2023-12-23,2293086,1109524,57,28,1078961,27,,2021-03-03,,406022,10
Madagascar,MDG,AFRO,REPORTING,2023-12-31,3092063,2710365,11,10,2628849,9,,2021-05-10,,169187,1
Mexico,MEX,AMRO,REPORTING,2023-12-29,222226293,96727823,172,75,81346379,63,,2020-12-24,,57014052,44
North Macedonia,MKD,EURO,REPORTING,2023-12-23,1862987,854570,89,41,838181,40,,2021-02-17,,161633,8
Mali,MLI,AFRO,REPORTING,2023-12-31,5922585,4354292,29,22,3633589,18,,2021-03-31,,,
Malta,MLT,EURO,REPORTING,2023-12-23,1282437,450535,249,88,444904,86,,2020-12-23,,354901,69
Montenegro,MNE,EURO,REPORTING,2023-12-23,526975,272152,84,43,254365,40,,2021-02-24,,,
Mozambique,MOZ,AFRO,REPORTING,2023-12-31,34950858,22869646,112,73,21329745,68,,2021-03-08,,2323562,7
Mauritania,MRT,AFRO,REPORTING,2023-12-31,4075874,2103754,88,45,1540597,33,,2021-03-26,,383937,8
Montserrat,MSR,AMRO,REPORTING,2023-12-29,4619,2104,92,42,1952,39,,2021-02-08,,563,11
Mauritius,MUS,AFRO,REPORTING,2023-12-31,2616012,1123773,206,88,1088142,86,,2021-01-26,,654507,51
Malawi,MWI,AFRO,REPORTING,2023-12-31,8503954,5433538,44,28,4288014,22,,2021-03-11,,1232829,6
Malaysia,MYS,WPRO,REPORTING,2023-12-31,72647279,28137593,224,87,27550612,85,,2021-02-24,,16347670,51
Namibia,NAM,AFRO,REPORTING,2023-12-31,1005937,629767,40,25,550978,22,,2021-03-19,,298560,12
Niger,NER,AFRO,REPORTING,2023-12-31,7372208,6248483,30,26,5483001,23,,2021-03-29,,,
Nigeria,NGA,AFRO,REPORTING,2023-12-31,133048021,93829435,65,46,81297808,39,,2021-03-05,,16826715,8
Nicaragua,NIC,AMRO,REPORTING,2023-12-29,15507763,6404524,234,97,6126708,92,,2021-03-03,,2892531,44
Netherlands (Kingdom of the),NLD,EURO,REPORTING,2023-12-23,40291263,13469323,231,77,12405837,71,,2020-12-30,,12146841,70
Norway,NOR,EURO,REPORTING,2023-12-23,13020641,4346149,243,81,4061312,76,,2020-12-23,,3705726,69
Panama,PAN,AMRO,REPORTING,2023-12-29,9201276,3746041,213,87,3178700,74,,2021-01-20,,1770843,41
Peru,PER,AMRO,REPORTING,2023-12-29,91328338,30542485,277,93,28709882,87,,2021-02-09,,22245062,67
Papua New Guinea,PNG,WPRO,REPORTING,2023-12-04,543670,399198,6,4,338004,4,,2021-03-30,,37525,
Poland,POL,EURO,REPORTING,2023-12-23,58634593,22984543,154,61,22705868,60,,2020-12-23,,12928562,34
Puerto Rico,PRI,AMRO,REPORTING,2023-12-29,7846764,3136418,274,100,2688410,94,,,,1808780,63
Portugal,PRT,EURO,REPORTING,2023-12-23,27360186,9822021,266,95,8910340,87,,2020-12-23,,7052055,68
Paraguay,PRY,AMRO,REPORTING,2023-12-29,9954852,3995915,140,56,3550673,50,,2021-02-22,,1660766,23
Romania,ROU,EURO,REPORTING,2023-12-23,16112261,8188137,83,42,8142363,42,,2021-01-27,,1770001,9
Russian Federation,RUS,EURO,REPORTING,2023-12-23,187374508,89081596,128,61,79702396,55,,,,,
Rwanda,RWA,AFRO,REPORTING,2023-12-31,27322059,10884714,211,84,10399665,80,,2021-03-05,,5879013,45
Sudan,SDN,EMRO,REPORTING,2023-12-31,28662107,15207452,65,35,13416394,31,,2021-03-09,,38261,
Senegal,SEN,AFRO,REPORTING,2023-12-31,3182308,2684696,19,16,1548665,9,,2021-02-23,,724754,4
Sierra Leone,SLE,AFRO,REPORTING,2023-12-31,9155936,5676123,115,71,4961886,62,,2021-03-15,,1201709,15
El Salvador,SLV,AMRO,REPORTING,2023-12-29,11459448,4659970,177,72,4397817,68,,2021-02-17,,1908547,29
San Marino,SMR,EURO,REPORTING,2023-12-23,69338,26357,204,78,23633,70,,2021-02-24,,19348,57
Somalia,SOM,EMRO,REPORTING,2023-12-31,8784760,8972167,55,56,7666835,48,,2021-03-16,,,
Serbia,SRB,EURO,REPORTING,2023-12-23,6722671,3398116,97,49,3324555,48,,2020-12-23,,,
South Sudan,SSD,AFRO,REPORTING,2023-12-31,4365547,4315127,39,39,4273253,38,,2021-04-06,,513122,5
Sao Tome and Principe,STP,AFRO,REPORTING,2023-12-31,263863,140256,120,64,111986,51,,2021-03-15,,34624,16
Suriname,SUR,AMRO,REPORTING,2023-12-29,554588,267820,95,46,237879,41,,2021-02-23,,48889,8
Slovakia,SVK,EURO,REPORTING,2023-12-23,7222380,2840017,132,52,2791711,51,,2020-12-23,,1686458,31
Slovenia,SVN,EURO,REPORTING,2023-12-23,3028400,1252307,144,60,1187384,57,,2020-12-23,,681485,33
Sweden,SWE,EURO,REPORTING,2023-12-23,23237123,7563941,225,73,7403549,72,,2020-12-23,,5542831,54
Eswatini,SWZ,AFRO,REPORTING,2023-12-31,870205,526050,75,45,427335,37,,2021-03-19,,179450,15
Sint Maarten (Dutch part),SXM,AMRO,REPORTING,2023-12-29,66829,29788,156,69,26773,62,,,,9146,21
Seychelles,SYC,AFRO,REPORTING,2023-12-31,224558,88520,228,90,83565,85,,2021-01-10,,44936,46
Turks and Caicos Islands,TCA,AMRO,REPORTING,2023-12-29,73907,32815,191,85,30710,79,,2021-01-11,,7443,19
Chad,TCD,AFRO,REPORTING,2023-12-31,9151765,5147667,56,31,5020360,31,,2021-06-04,,4042573,25
Togo,TGO,AFRO,REPORTING,2023-12-31,3423181,2255579,41,27,1554066,19,,2021-03-10,,427804,5
